folder,filename,image_index,downsample_factor,trim_percent,trim_lo,trim_hi,mu_1,hard_mean_1,median_1,mode_1,sigma_1,weight_1,n_class_1,mu_2,hard_mean_2,median_2,mode_2,sigma_2,weight_2,n_class_2,n_valid_pixels,n_sampled_pixels,n_fit_pixels,converged,n_iter
tomo_sample_2_051_rec,recon_00000.tiff,0,100,0.5,-0.000490043203754,0.000758275004628,-5.6239261657e-05,-5.63001718766e-05,-5.45808943571e-05,-5.96359099192e-05,6.85596052895e-05,0.355159643704,28845,0.000381325222247,0.000381355795397,0.00037895256537,0.000381711722808,7.59444898615e-05,0.644840356296,52373,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00001.tiff,1,100,0.5,-0.000453943105822,0.000786856261257,-5.50202678745e-05,-5.5061317512e-05,-5.28018681507e-05,-4.73058353903e-05,6.72436567481e-05,0.35670857242,28973,0.000382853477343,0.000382891689704,0.00037977824104,0.000369611760573,7.68915826381e-05,0.64329142758,52245,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00002.tiff,2,100,0.5,-0.000470896103216,0.00077716856671,-5.5766556513e-05,-5.58091758216e-05,-5.37666164746e-05,-5.27598193432e-05,6.85971140031e-05,0.35419592284,28769,0.000382310533552,0.000382349910253,0.000379228178645,0.000385694759176,7.68077959937e-05,0.64580407716,52449,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00003.tiff,3,100,0.5,-0.000461516412761,0.000787817310775,-5.65500607144e-05,-5.65953818718e-05,-5.49200958631e-05,-6.44379582746e-05,6.75316521063e-05,0.357503886176,29037,0.000382003360813,0.000382039080846,0.000378583354177,0.000379943435479,7.72950724503e-05,0.642496113824,52181,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00004.tiff,4,100,0.5,-0.000442105890106,0.00077330544882,-5.54015724958e-05,-5.54495622836e-05,-5.40768232895e-05,-6.02217134644e-05,6.72514595976e-05,0.354269664681,28775,0.000381590450689,0.000381632834157,0.000378980301321,0.00036901461585,7.73810858863e-05,0.645730335319,52443,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00005.tiff,5,100,0.5,-0.00045752001286,0.000774822404783,-5.56544138688e-05,-5.56808997741e-05,-5.39035154361e-05,-3.94656489747e-05,6.73343616028e-05,0.351419080708,28546,0.000382082510049,0.00038213380585,0.00037941672781,0.000376996760844,7.65282623547e-05,0.648580919292,52672,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00006.tiff,6,100,0.5,-0.000478122218046,0.000785637257795,-5.67235341656e-05,-5.6805795177e-05,-5.50431977899e-05,-3.35335725781e-05,6.90659196214e-05,0.355637667127,28881,0.000382006960588,0.000382025696777,0.000379111530492,0.000357169765357,7.68700870233e-05,0.644362332873,52337,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00007.tiff,7,100,0.5,-0.000463656591164,0.000773081948864,-5.62610986306e-05,-5.63005464216e-05,-5.48235111637e-05,-4.91342584962e-05,6.69566778231e-05,0.351659099814,28563,0.000382151919045,0.00038218956395,0.000379517092369,0.000379975540214,7.67704128992e-05,0.648340900186,52655,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00008.tiff,8,100,0.5,-0.000474137340789,0.00076080132596,-5.58689067415e-05,-5.59254790085e-05,-5.38913300261e-05,-5.88539629618e-05,6.85043796523e-05,0.352824382106,28656,0.000381987271655,0.000382020690831,0.00037901198084,0.000365124870566,7.62758323936e-05,0.647175617894,52562,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00009.tiff,9,100,0.5,-0.000476239894051,0.000764877427719,-5.61311484798e-05,-5.61805282096e-05,-5.40170331078e-05,-3.47790505373e-05,6.8828899644e-05,0.354685372241,28808,0.000382226023094,0.000382262896445,0.000379793505999,0.000367768228065,7.65588192243e-05,0.645314627759,52410,8204093,82040,81218,True,6
tomo_sample_2_051_rec,recon_00100.tiff,100,100,0.5,-0.000473540746025,0.000783530798217,-5.50670814199e-05,-5.51231647157e-05,-5.24642673554e-05,-4.67699684125e-05,6.90425332348e-05,0.354311912323,28779,0.000381775183905,0.000381826748361,0.000378875032766,0.000362595757598,7.87138365557e-05,0.645688087677,52439,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00101.tiff,101,100,0.5,-0.000500301709108,0.000773552429164,-5.59168335013e-05,-5.59892282188e-05,-5.39000902791e-05,-6.16712182762e-05,7.12837489813e-05,0.356771234059,28977,0.00038104950398,0.000381095965878,0.000377755757654,0.000363025439856,7.88248617835e-05,0.643228765941,52241,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00102.tiff,102,100,0.5,-0.0004772764066,0.000785121843219,-5.55144681141e-05,-5.56361497599e-05,-5.34567843715e-05,-4.49875572714e-05,7.02468287374e-05,0.355053434887,28831,0.000381497746756,0.00038151691522,0.000378495285986,0.000385179354618,7.92420633653e-05,0.644946565113,52387,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00103.tiff,103,100,0.5,-0.0004809546264,0.000803336056415,-5.59776542593e-05,-5.60062959784e-05,-5.36162624485e-05,-5.5901166172e-05,6.96086142119e-05,0.35725520649,29023,0.000382482971812,0.000382561453022,0.000378640805138,0.000367838669533,8.10118140405e-05,0.64274479351,52195,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00104.tiff,104,100,0.5,-0.000516797605669,0.000792540295224,-5.50448933561e-05,-5.50712035632e-05,-5.33132115379e-05,-6.58718869452e-05,7.08256994563e-05,0.356730798342,28982,0.000381604779401,0.000381694927403,0.000377966323867,0.000369346189393,8.0413908051e-05,0.643269201658,52236,8204092,82040,81218,True,7
tomo_sample_2_051_rec,recon_00105.tiff,105,100,0.5,-0.000510846066463,0.00078481771081,-5.57557277916e-05,-5.58173714306e-05,-5.37766900379e-05,-4.00900995103e-05,7.17243796747e-05,0.353242309245,28693,0.000381949304559,0.00038201102968,0.000378631491913,0.000361209466871,7.94480379341e-05,0.646757690755,52525,8204093,82040,81218,True,7
