folder,filename,image_index,downsample_factor,trim_percent,trim_lo,trim_hi,mu_1,hard_mean_1,median_1,mode_1,sigma_1,weight_1,n_class_1,mu_2,hard_mean_2,median_2,mode_2,sigma_2,weight_2,n_class_2,n_valid_pixels,n_sampled_pixels,n_fit_pixels,converged,n_iter
tomo_sample_2_051_rec,recon_00000.tiff,0,100,0.5,-0.000490043203754,0.000758275004628,-5.6239261657e-05,-5.63001718766e-05,-5.45808943571e-05,-5.96359099192e-05,6.85596052895e-05,0.355159643704,28845,0.000381325222247,0.000381355795397,0.00037895256537,0.000381711722808,7.59444898615e-05,0.644840356296,52373,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00001.tiff,1,100,0.5,-0.000453943105822,0.000786856261257,-5.50202678745e-05,-5.5061317512e-05,-5.28018681507e-05,-4.73058353903e-05,6.72436567481e-05,0.35670857242,28973,0.000382853477343,0.000382891689704,0.00037977824104,0.000369611760573,7.68915826381e-05,0.64329142758,52245,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00002.tiff,2,100,0.5,-0.000470896103216,0.00077716856671,-5.5766556513e-05,-5.58091758216e-05,-5.37666164746e-05,-5.27598193432e-05,6.85971140031e-05,0.35419592284,28769,0.000382310533552,0.000382349910253,0.000379228178645,0.000385694759176,7.68077959937e-05,0.64580407716,52449,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00003.tiff,3,100,0.5,-0.000461516412761,0.000787817310775,-5.65500607144e-05,-5.65953818718e-05,-5.49200958631e-05,-6.44379582746e-05,6.75316521063e-05,0.357503886176,29037,0.000382003360813,0.000382039080846,0.000378583354177,0.000379943435479,7.72950724503e-05,0.642496113824,52181,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00004.tiff,4,100,0.5,-0.000442105890106,0.00077330544882,-5.54015724958e-05,-5.54495622836e-05,-5.40768232895e-05,-6.02217134644e-05,6.72514595976e-05,0.354269664681,28775,0.000381590450689,0.000381632834157,0.000378980301321,0.00036901461585,7.73810858863e-05,0.645730335319,52443,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00005.tiff,5,100,0.5,-0.00045752001286,0.000774822404783,-5.56544138688e-05,-5.56808997741e-05,-5.39035154361e-05,-3.94656489747e-05,6.73343616028e-05,0.351419080708,28546,0.000382082510049,0.00038213380585,0.00037941672781,0.000376996760844,7.65282623547e-05,0.648580919292,52672,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00006.tiff,6,100,0.5,-0.000478122218046,0.000785637257795,-5.67235341656e-05,-5.6805795177e-05,-5.50431977899e-05,-3.35335725781e-05,6.90659196214e-05,0.355637667127,28881,0.000382006960588,0.000382025696777,0.000379111530492,0.000357169765357,7.68700870233e-05,0.644362332873,52337,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00007.tiff,7,100,0.5,-0.000463656591164,0.000773081948864,-5.62610986306e-05,-5.63005464216e-05,-5.48235111637e-05,-4.91342584962e-05,6.69566778231e-05,0.351659099814,28563,0.000382151919045,0.00038218956395,0.000379517092369,0.000379975540214,7.67704128992e-05,0.648340900186,52655,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00008.tiff,8,100,0.5,-0.000474137340789,0.00076080132596,-5.58689067415e-05,-5.59254790085e-05,-5.38913300261e-05,-5.88539629618e-05,6.85043796523e-05,0.352824382106,28656,0.000381987271655,0.000382020690831,0.00037901198084,0.000365124870566,7.62758323936e-05,0.647175617894,52562,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00009.tiff,9,100,0.5,-0.000476239894051,0.000764877427719,-5.61311484798e-05,-5.61805282096e-05,-5.40170331078e-05,-3.47790505373e-05,6.8828899644e-05,0.354685372241,28808,0.000382226023094,0.000382262896445,0.000379793505999,0.000367768228065,7.65588192243e-05,0.645314627759,52410,8204093,82040,81218,True,6
tomo_sample_2_051_rec,recon_00010.tiff,10,100,0.5,-0.000474231792468,0.000771627419163,-5.63576297609e-05,-5.64079286574e-05,-5.48016287212e-05,-6.906881971e-05,6.73264841216e-05,0.356849903158,28983,0.000382125426832,0.000382156395888,0.000378987140721,0.00036375369698,7.6786710693e-05,0.643150096842,52235,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00011.tiff,11,100,0.5,-0.000472428719513,0.000773217502283,-5.58829432286e-05,-5.5929811693e-05,-5.42949092051e-05,-7.46337141749e-05,6.77567030245e-05,0.356591475837,28963,0.000383703484096,0.000383740847763,0.000380393961677,0.000388954229078,7.75485528841e-05,0.643408524163,52255,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00012.tiff,12,100,0.5,-0.000450005444291,0.000757184052491,-5.52415549437e-05,-5.52571231524e-05,-5.31765435881e-05,-7.33616681824e-05,6.68580596408e-05,0.354499491717,28797,0.000382387808902,0.00038244027588,0.00037957605673,0.000370654213807,7.64724116534e-05,0.645500508283,52421,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00013.tiff,13,100,0.5,-0.000464901621599,0.00078166314488,-5.56156249723e-05,-5.5630754281e-05,-5.38749300176e-05,-4.88819166811e-05,6.73039290455e-05,0.355657752054,28892,0.000383264565842,0.000383324826726,0.000379784120014,0.000369193450481,7.76963732472e-05,0.644342247946,52326,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00014.tiff,14,100,0.5,-0.000489897484076,0.000779722363513,-5.71425419803e-05,-5.72453171208e-05,-5.50516906515e-05,-5.34127320329e-05,6.9796737288e-05,0.354054425272,28750,0.000383032140303,0.000383041540152,0.00037999630149,0.000384137458124,7.70317726998e-05,0.645945574728,52468,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00015.tiff,15,100,0.5,-0.000470737012511,0.000779953352758,-5.59821149142e-05,-5.60052235364e-05,-5.36876614206e-05,-3.5353370863e-05,6.78636021847e-05,0.353665315621,28729,0.000382870488328,0.00038292502762,0.000379955745302,0.000390178775211,7.74883783783e-05,0.646334684379,52489,8204093,82040,81218,True,7
