folder,filename,image_index,downsample_factor,n_total_pixels,n_zero_pixels,n_valid_pixels,n_sampled_pixels,min,p0_01,p0_1,p1_0,p5_0,p25_0,p50_0,p75_0,p95_0,p99_0,p99_9,p99_99,max,hist_lo,hist_hi,peak_1,peak_2,peak_1_bin,peak_2_bin,peak_1_height,peak_2_height
tomo_sample_2_051_rec,recon_00000.tiff,0,100,10445824,2241731,8204093,82040,-0.00277797644958,-0.00194566359505,-0.00123017286602,-0.000224690050964,-0.0001219476806,-2.39537534981e-05,0.000327038287651,0.000399258911784,0.000487557360611,0.000622875986155,0.00107545191247,0.00143586367399,0.00291954819113,-0.000224690050964,0.000622875986155,-6.5032400068e-05,0.000382251420651,192,733,171,264.333333333
tomo_sample_2_051_rec,recon_00001.tiff,1,100,10445824,2241731,8204093,82040,-0.00248372531496,-0.00216772976492,-0.00115666206926,-0.000228360769252,-0.00012066495874,-2.4024699087e-05,0.000327638335875,0.000399888624088,0.000489373228629,0.000631100399187,0.00106124354294,0.00143884794719,0.00400957046077,-0.000228360769252,0.000631100399187,-5.35567493036e-05,0.000383996320573,208,729,181.666666667,265.333333333
tomo_sample_2_051_rec,recon_00002.tiff,2,100,10445824,2241731,8204093,82040,-0.00267617334612,-0.00220491057034,-0.00116888826352,-0.000234026964754,-0.000122077576088,-2.30627456403e-05,0.000328059468302,0.000399739459681,0.00048942497815,0.000631499470328,0.00105677164125,0.00138698084877,0.00496936589479,-0.000234026964754,0.000631499470328,-5.26690553007e-05,0.000373560195811,214,718,175.666666667,270.666666667
tomo_sample_2_051_rec,recon_00003.tiff,3,100,10445824,2241731,8204093,82040,-0.00278891366906,-0.00221548807784,-0.00119582716154,-0.00023157583928,-0.000121890019727,-2.56683483713e-05,0.000326602414134,0.000398930729716,0.000487921100284,0.000646333056502,0.00106664210791,0.00143283132873,0.00184529065154,-0.00023157583928,0.000646333056502,-4.33300283399e-05,0.000370128971941,219,701,181.666666667,276.333333333
tomo_sample_2_051_rec,recon_00004.tiff,4,100,10445824,2241731,8204093,82040,-0.00267772376537,-0.00210379159385,-0.00113150037359,-0.000227219334483,-0.000120827987848,-2.3330165277e-05,0.000326944486005,0.000399483826186,0.000489415752236,0.00063825286401,0.00106232926168,0.00142376699576,0.00348568917252,-0.000227219334483,0.00063825286401,-5.95904418716e-05,0.000369026319155,198,705,185,272.666666667
tomo_sample_2_051_rec,recon_00005.tiff,5,100,10445824,2241731,8204093,82040,-0.00258617801592,-0.00227192875021,-0.00126198044664,-0.000219927411526,-0.000121636151744,-2.29869547184e-05,0.000328755369992,0.000400153789087,0.000489280783222,0.000633867557626,0.00108673450816,0.00134009760545,0.00153723394033,-0.000219927411526,0.000633867557626,-3.95102276018e-05,0.000376853593523,216,715,187,279.666666667
tomo_sample_2_051_rec,recon_00006.tiff,6,100,10445824,2241731,8204093,82040,-0.00300464476459,-0.00227070952451,-0.00129505147506,-0.000240147886507,-0.000121805928211,-2.48072301474e-05,0.00032739758899,0.000399832853873,0.000488612317713,0.000635446649394,0.00109631695168,0.00145602604867,0.00196475186385,-0.000240147886507,0.000635446649394,-7.52556498826e-05,0.000395934653542,192,743,180.333333333,271.666666667
tomo_sample_2_051_rec,recon_00007.tiff,7,100,10445824,2241731,8204093,82040,-0.00298273889348,-0.00200666813198,-0.00117745770689,-0.00021553766841,-0.000122158276645,-2.31840585911e-05,0.000328894282575,0.000399850643589,0.000488563967519,0.000639243997284,0.00109750137804,0.00143376931702,0.00170746538788,-0.00021553766841,0.000639243997284,-4.84390622358e-05,0.000380290737063,200,713,178,270
tomo_sample_2_051_rec,recon_00008.tiff,8,100,10445824,2241731,8204093,82040,-0.0031034941785,-0.00231429248923,-0.00130197070085,-0.000223618086457,-0.000121594292432,-2.32679280998e-05,0.000328279973473,0.000399317985284,0.000490028297645,0.000628275365452,0.0010687802824,0.00147307152738,0.00173806946259,-0.000223618086457,0.000628275365452,-5.88965010289e-05,0.000365047031801,197,707,172,278
tomo_sample_2_051_rec,recon_00009.tiff,9,100,10445824,2241731,8204093,82040,-0.00282356957905,-0.00204246887674,-0.00123345910374,-0.000229411927139,-0.000122409114556,-2.33071332332e-05,0.00032771959377,0.000399987999117,0.000488902270445,0.00063095100224,0.00108566153899,0.00149552317449,0.00162235205062,-0.000229411927139,0.00063095100224,-5.90662166576e-05,0.000384520878034,202,730,175.333333333,271.666666667
tomo_sample_2_051_rec,recon_00100.tiff,100,100,10445824,2241731,8204093,82040,-0.00307568791322,-0.00218477875732,-0.00119270758017,-0.000232786562847,-0.000121299029706,-2.19076196117e-05,0.000326259658323,0.00039983435272,0.000491412781412,0.000638744939351,0.0010883895352,0.00153144220624,0.00188264949247,-0.000232786562847,0.000638744939351,-4.7387527467e-05,0.000362610474703,217,699,173.333333333,273
tomo_sample_2_051_rec,recon_00101.tiff,101,100,10445824,2241731,8204093,82040,-0.0026788066607,-0.00228391380855,-0.00124645359977,-0.000247125870665,-0.000122549285152,-2.36185069298e-05,0.000324326028931,0.000398699587095,0.000491576333297,0.000641840797034,0.00108768115134,0.00155442866795,0.00212839525193,-0.000247125870665,0.000641840797034,-6.71162484428e-05,0.000360095949431,207,699,179,269
tomo_sample_2_051_rec,recon_00102.tiff,102,100,10445824,2241731,8204093,82040,-0.00267365644686,-0.00202874642762,-0.00131625618821,-0.000235348217102,-0.000123276242084,-2.22303692681e-05,0.000325485394569,0.000399427779485,0.000490515792626,0.000647848879453,0.00109269585763,0.0015184502798,0.0021676949691,-0.000235348217102,0.000647848879453,-5.72021230566e-05,0.000381795124455,206,715,173.666666667,273
