model,fraction,n_train,train_sec,train_sec_std,classify_sec_total,classify_sec_per_point,balanced_accuracy,roc_auc
cnn2,0.25,66,0.2858856000002561,0.045587598446075114,0.0006848699995316565,7.695168534063556e-06,0.6772700119474313,0.7323775388291518
cnn2,0.5,133,0.7516036500001064,0.18841390514664882,0.000671860000147717,7.548988765704686e-06,0.6178315412186379,0.7431302270011948
cnn2,0.75,200,0.9046331000008649,0.4441537096757805,0.0006678800000372576,7.504269663339972e-06,0.6359020310633214,0.7520908004778972
cnn2,1.0,267,1.0896145999995497,0.29946608579109874,0.0005683300001692259,6.385730338980067e-06,0.7132616487455197,0.8025686977299881
cnn3,0.25,66,0.33368960000007064,0.021420244302483,0.0015869999999267748,1.7831460673334548e-05,0.5368876941457587,0.7252090800477897
cnn3,0.5,133,1.076009599997633,0.5381240996761486,0.00156297999965318,1.7561573029811014e-05,0.7455197132616487,0.8375149342891277
cnn3,0.75,200,1.6399149499993655,0.08751471722023786,0.001485569999931613,1.6691797752040594e-05,0.8067502986857825,0.9097968936678613
cnn3,1.0,267,1.5232735000008688,0.016444192461264443,0.001666440000917646,1.8724044954130857e-05,0.8155615292712067,0.9050179211469533
dense_fc,0.25,66,0.09173379999992903,0.010056755485466948,7.408000092254952e-05,8.323595609275226e-07,0.8514038231780168,0.9599761051373954
dense_fc,0.5,133,0.13243189999957394,0.0071191510726975535,7.279000019480008e-05,8.178651707280909e-07,0.89889486260454,0.9516129032258065
dense_fc,0.75,200,0.12989769999876444,0.005314755985738162,6.997999989835079e-05,7.862921336893348e-07,0.8549880525686977,0.9250298685782556
dense_fc,1.0,267,0.2445190000016737,0.07020636956188152,6.285999952524435e-05,7.062921294971275e-07,0.9283154121863799,0.9775985663082438
random_forest,0.25,66,0.38406510000095295,0.0060358634876194655,0.04466566999981296,0.0005018614606720558,0.897700119474313,0.9778972520908005
random_forest,0.5,133,0.38976594999985537,0.0006039399009860106,0.04815906999974687,0.0005411131460645715,0.8779868578255675,0.9701314217443249
random_forest,0.75,200,0.39181914999971923,0.015160722939887763,0.0500343799998518,0.0005621840449421551,0.8542413381123058,0.9761051373954599
random_forest,1.0,267,0.4259306000003562,0.02698602319820455,0.04903828000024077,0.0005509919101150648,0.9283154121863799,0.9904420549581839
